symbol,arm,long_thr,exit_thr,n_trades,total_return,sharpe,max_dd,pct_time_in_market
CAC40,momentum_long,65.0,45.0,135,-0.12783442112783505,-0.34367113823042866,-0.15405443531492857,0.4876905041031653
CAC40,confidence_long,55.0,35.0,75,-0.10829122309571393,-0.35741671740449815,-0.1259338567475664,0.2946463462289957
CAC40,momentum_long,65.0,55.0,146,-0.043543303298414715,-0.10501839786032968,-0.09877044351501896,0.46268073466197734
CAC40,confidence_long,55.0,45.0,77,-0.06393655789842267,-0.20722853874757344,-0.09162743677115115,0.2856584603360688
CAC40,confidence_long,65.0,35.0,92,-0.23526678350944097,-0.7831643820004107,-0.23997032435225996,0.36303243454474404
CAC40,vol_long_dir,45.0,35.0,36,0.06980715870110132,0.2871271957911022,-0.06231271789302917,0.14810472840953498
CAC40,confidence_long,65.0,45.0,92,-0.22864146709401234,-0.7609607270310895,-0.23338575737164668,0.36186010160218834
CAC40,confidence_long,65.0,55.0,95,-0.17182564728734373,-0.5760899529174324,-0.17691938691962406,0.3509183274716686
CAC40,vol_long_dir,55.0,35.0,61,-0.11558396877530763,-0.4024071729613686,-0.15686947660384065,0.2024228214146151
CAC40,vol_long_dir,55.0,45.0,61,-0.11558396877530763,-0.4024071729613686,-0.15686947660384065,0.2024228214146151
CAC40,vol_long_inv,-35.0,-45.0,34,0.01428616258535631,0.13802617061259703,-0.041375200404465184,0.019538882375928098
CAC40,vol_long_dir,65.0,35.0,61,-0.11558396877530763,-0.4024071729613686,-0.15686947660384065,0.2024228214146151
CAC40,vol_long_inv,-35.0,-55.0,34,0.04437572734674533,0.32861576870500814,-0.03495864808581106,0.03712387651426338
CAC40,vol_long_dir,65.0,45.0,61,-0.11558396877530763,-0.4024071729613686,-0.15686947660384065,0.2024228214146151
CAC40,vol_long_inv,-45.0,-55.0,34,0.04437572734674533,0.32861576870500814,-0.03495864808581106,0.03712387651426338
CAC40,vol_long_inv,-35.0,-65.0,34,0.04437572734674533,0.32861576870500814,-0.03495864808581106,0.03712387651426338
CAC40,risk_long_dir,45.0,35.0,0,0.0,0.0,0.0,0.0
