arm,long_thr,exit_thr,symbol,window,n_trades,total_return,sharpe,max_dd
trend_long,70.0,30.0,IBEX35,3,17,0.026430719417972037,0.29688549151351384,-0.05164825840999443
trend_long,70.0,30.0,UK100_ETF,1,13,-0.0862569041897765,-1.4656080382801344,-0.09018423866722902
trend_long,70.0,30.0,FTSE250,3,15,-0.03601546088250995,-0.47718387126334494,-0.047548433709834415
trend_long,70.0,30.0,UK100_ETF,0,14,-0.03222651928525988,-0.6036862170442369,-0.04514406203050947
trend_long,70.0,30.0,UK100_ETF,2,9,-0.012295511883835153,-0.24038414688370008,-0.034005088185234955
trend_long,70.0,40.0,UK100,1,11,-0.06908945758108642,-1.3484154094819292,-0.06908945758108642
trend_long,70.0,40.0,UK100,0,15,-0.031681975753741765,-0.5661304346206387,-0.07036072793451975
trend_long,70.0,40.0,UK100,2,11,-0.05349813752950139,-1.1193082603388949,-0.056561468570849316
trend_long,70.0,30.0,UK100_ETF,3,25,-0.0828443460669328,-0.7739260420524466,-0.12562957437201028
trend_long,70.0,40.0,DAX40,0,8,0.0022959782251408267,0.06946573955645527,-0.022280953562406114
trend_long,70.0,40.0,DAX40,1,7,0.016733384436495635,0.36973346533113743,-0.026085677097141158
trend_long,70.0,40.0,UK100,3,19,-0.03902325008670082,-0.43152667681410817,-0.06423532126402154
trend_long,70.0,40.0,DAX40,2,7,-0.00921120668684583,-0.229857838260592,-0.02971242107060512
trend_long,70.0,40.0,CAC40,2,6,-0.00903194780901373,-0.21679138609412782,-0.02784567734097043
trend_long,70.0,40.0,CAC40,0,9,-0.004834238209268871,-0.09392042188240181,-0.04362365880292607
trend_long,70.0,40.0,CAC40,1,10,-0.008073892943860073,-0.12276863246791582,-0.03954618857868819
trend_long,70.0,40.0,DAX40,3,17,0.004060935429886836,0.057769313761683934,-0.04327157868713083
trend_long,70.0,40.0,IBEX35,0,9,-0.0311372999838071,-0.8137380148952655,-0.04162678086199367
trend_long,70.0,40.0,IBEX35,1,10,-0.02243050943060365,-0.48734239121515854,-0.05228768537173978
