name,require_risk_filter,T_enter,C_enter,R_max,symbol,window,n_trades,total_return,sharpe,max_dd
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,IBEX35,3,71,0.03331379782168886,0.1760661751349864,-0.0728241143194287
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,FTSE250,3,61,-0.12387258804686807,-0.6976363499288185,-0.14551207023736956
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,UK100_ETF,2,33,-0.13257525480068488,-1.4704694951852806,-0.14432689444379765
composite_T50_C70_noR,False,50.0,70.0,99.0,UK100,0,42,-0.06984493623986965,-1.0747168970558527,-0.07583585157190653
composite_T50_C70_noR,False,50.0,70.0,99.0,UK100,1,25,-0.08997925718116262,-1.5011046527803313,-0.08997925718116262
composite_T50_C70_noR,False,50.0,70.0,99.0,UK100,2,44,-0.10229769005725242,-1.4466110163210908,-0.10779459323885543
composite_T50_C70_noR,False,50.0,70.0,99.0,DAX40,0,51,-0.027107843916566843,-0.33543227311834184,-0.06089192356234663
composite_T50_C70_noR,False,50.0,70.0,99.0,DAX40,1,22,-0.020970488011226363,-0.4205008014473203,-0.04744896359332251
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,UK100_ETF,3,70,-0.16499195818902668,-0.8514926164013363,-0.1939602050453626
composite_T50_C70_noR,False,50.0,70.0,99.0,DAX40,2,39,-0.06844407805035613,-1.078799463055233,-0.08832203810271899
composite_T50_C70_noR,False,50.0,70.0,99.0,UK100,3,80,-0.05211069943636215,-0.3349551694473128,-0.09938413255011369
composite_T50_C70_noR,False,50.0,70.0,99.0,CAC40,1,29,-0.09493073411230057,-1.3242845401261192,-0.09493073411230057
composite_T50_C70_noR,False,50.0,70.0,99.0,CAC40,0,36,-0.0385164059478349,-0.6187045397350669,-0.05169265582490634
composite_T50_C70_noR,False,50.0,70.0,99.0,CAC40,2,34,-0.009476518109226895,-0.12335236274957875,-0.05171595320696554
composite_T50_C70_noR,False,50.0,70.0,99.0,IBEX35,1,13,-0.051955014251260256,-1.243194792103475,-0.054890258913762535
composite_T50_C70_noR,False,50.0,70.0,99.0,DAX40,3,88,-0.05079215298410367,-0.2953983505370238,-0.08027003726745363
composite_T50_C70_noR,False,50.0,70.0,99.0,IBEX35,0,30,0.019117512733857867,0.30228131938016717,-0.03698123554762267
